id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6,North Park Craftsmen House * Great for Families,29,Sara,,North Hills,32.75522,-117.12873,Entire home/apt,211,1,202,2025-09-13,0.96,1,331,40,"STR-04545L, 631067"
12447,Cozy Pacific Beach Hideaway!,48669,Jennifer,,Pacific Beach,32.80533,-117.234,Private room,82,6,7,2025-08-25,0.04,2,304,4,"STR-06735L, 631362"
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,184,4,129,2025-08-31,0.70,3,331,14,"STR-05218L, 645110"
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Private room,88,1,987,2025-09-08,5.47,2,223,74,"STR-00821L, 520121"
62949,Pacific Beach Cozy Private Hideaway Bikes Included,21532,Lisa,,Pacific Beach,32.80655336124804,-117.23480750651349,Entire home/apt,105,1,1203,2025-09-24,7.55,4,182,96,"STR-06358L, 62086"
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,36,31,196,2022-11-26,1.14,2,100,0,
77785,Old Town San Diego. Gated Community. Rent a Room.,417659,Alicia,,Old Town,32.749096,-117.191025,Private room,90,31,20,2022-09-10,0.22,1,88,0,
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,38,31,162,2022-12-13,0.92,2,51,0,
103417,La Jolla Retreat-ZenLife; 3 blocks to Ocean,252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,99,3,283,2025-09-20,1.65,2,67,29,"STR-05706L, 523003"
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,,31,93,2025-08-03,0.54,9,0,4,Exempt
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,,31,166,2025-07-06,0.97,2,0,1,"STR-11843L, 520053"
126344,"Tourmaline House - Beach, Pet-Friendly, EV Charger",546519,Juliana,,Pacific Beach,32.80661,-117.25843,Entire home/apt,417,6,206,2025-04-18,1.22,2,192,2,"STR-00366L, 520229"
132966,Water View Studio in Pacific Beach!,555739,Rosana,,La Jolla,32.80934,-117.25913,Entire home/apt,124,31,47,2025-07-19,0.33,1,299,5,
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,161,3,796,2025-09-09,4.62,2,215,42,"STR-01893L, 519224"
171212,Entire 3BR/2BA Condo in Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94568,-117.23229,Entire home/apt,197,30,80,2025-07-11,0.53,1,274,2,"STR-07941L, 648767"
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77361,-117.2004,Entire home/apt,101,31,259,2023-02-18,1.51,2,88,0,
182428,Beachside Bliss 5: Steps to Ocean inMission Beach!,874515,Luke,,Mission Bay,32.76411,-117.25139,Entire home/apt,,3,22,2025-05-19,0.16,25,359,1,"STR-04879L, 519433"
182504,Sunny San Diego Home,874971,Stella,,Midtown,32.74316,-117.16748,Entire home/apt,235,3,288,2025-09-11,1.67,1,35,18,"STR-05553L, 618861"
184238,"OB studio, ocean views, hot tub & garage parking!",883704,Scott,,Loma Portal,32.74109,-117.24503,Entire home/apt,190,2,671,2025-09-22,3.90,1,320,51,"STR-00049L, 629713"
189785,North PB Perch - ocean views by Tourmo surf beach!,915738,Jeff,,La Jolla,32.81041,-117.26637,Private room,105,31,43,2024-08-03,0.30,1,130,0,
190225,LJ Village Home with private pool & spa,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,555,3,333,2025-09-14,2.04,1,284,33,"STR-00288L, 629298"
211583,"The Happy Little Cottage, just steps to sand...",1090651,Jaime,,Mission Bay,32.76757,-117.25103,Entire home/apt,233,3,269,2025-07-06,1.74,1,217,18,"STR-03699L, 618281"
213653,Beautiful Ocean View & Torrey PInes Serenity,660996,Kathy,,Torrey Pines,32.92565,-117.24847,Entire home/apt,333,4,72,2025-09-01,0.44,1,70,19,"STR-03611L, 604921"
241210,Room for rent in North Park Home near DT San Diego,1265742,Debra,,North Hills,32.75819,-117.13749,Private room,40,31,94,2023-06-19,0.55,1,218,0,"STR-12634L, 616383"
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79579,-117.17383,Entire home/apt,117,31,64,2025-02-26,0.42,6,304,2,
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74277,-117.17735,Entire home/apt,81,2,517,2025-09-19,3.10,2,82,49,"STR-02859L, 611101"
292285,Sleek & Modern OB/PT Loma Condo-Bch+Central Local,466847,Heather,,Loma Portal,32.75031,-117.23056,Entire home/apt,125,31,67,2025-02-01,0.49,1,47,1,"STR-09329L, 631356"
293133,San Diego Hillcrest area cozy Close to everything,797956,Michael,,North Hills,32.74925,-117.13299,Entire home/apt,,31,0,,,1,365,0,
293609,"Stylish Garden Retreat Near Balboa Park, Hillcrest",1502676,Aaron,,West University Heights,32.75906,-117.14445,Entire home/apt,254,2,385,2025-09-14,2.59,5,133,40,"STR-02921L, 613561"
299720,Bankers Hill Studio by Balboa Park,384706,Dhiraj,,Midtown,32.73464,-117.16452,Entire home/apt,116,31,70,2025-03-16,0.42,1,326,3,
